Year,Month,Rate
2023,5,3.3664
2023,4,3.167
2023,3,2.9106
2023,2,2.6404
2023,1,2.3449
2022,12,2.0635
2022,11,1.8252
2022,10,1.4277
2022,9,1.0109
2022,8,0.3947
2022,7,0.0366
2022,6,-0.2392
2022,5,-0.3857
2022,4,-0.4479
2022,3,-0.4954
2022,2,-0.5315
2022,1,-0.5601
2021,12,-0.582
2021,11,-0.5674
2021,10,-0.5498
2021,9,-0.5451
2021,8,-0.5476
2021,7,-0.5448
2021,6,-0.5429
2021,5,-0.5401
2021,4,-0.5382
2021,3,-0.5391
2021,2,-0.5411
2021,1,-0.5472
2020,12,-0.5381
2020,11,-0.5209
2020,10,-0.5091
2020,9,-0.4914
2020,8,-0.4797
2020,7,-0.4441
2020,6,-0.376
2020,5,-0.272
2020,4,-0.254
2020,3,-0.4166
2020,2,-0.4088
2020,1,-0.3911
2019,12,-0.3947
2019,11,-0.4013
2019,10,-0.4129
2019,9,-0.4176
2019,8,-0.4077
2019,7,-0.3649
2019,6,-0.3289
2019,5,-0.3119
2019,4,-0.3105
2019,3,-0.3092
2019,2,-0.3085
2019,1,-0.308
2018,12,-0.3119
2018,11,-0.3164
2018,10,-0.3177
2018,9,-0.3189
2018,8,-0.319
2018,7,-0.3207
2018,6,-0.3221
2018,5,-0.3252
2018,4,-0.3285
2018,3,-0.3279
2018,2,-0.3285
2018,1,-0.3285
2017,12,-0.3279
2017,11,-0.329
2017,10,-0.3296
2017,9,-0.3294
2017,8,-0.3291
2017,7,-0.3304
2017,6,-0.33
2017,5,-0.3295
2017,4,-0.3304
2017,3,-0.3293
2017,2,-0.3286
2017,1,-0.3256
2016,12,-0.3158
2016,11,-0.3127
2016,10,-0.309
2016,9,-0.3016
2016,8,-0.2982
2016,7,-0.2945
2016,6,-0.2679
2016,5,-0.2572
2016,4,-0.2492
2016,3,-0.2285
2016,2,-0.1836
2016,1,-0.1462
2015,12,-0.1263
2015,11,-0.0876
2015,10,-0.0536
2015,9,-0.037
2015,8,-0.0277
2015,7,-0.0187
2015,6,-0.0139
2015,5,-0.0104
2015,4,0.0047
2015,3,0.0272
2015,2,0.0482
2015,1,0.0627
2014,12,0.0809
2014,11,0.0809
2014,10,0.0826
2014,9,0.0971
2014,8,0.1916
2014,7,0.205
2014,6,0.2414
2014,5,0.3246
2014,4,0.3297
2014,3,0.3053
2014,2,0.2881
2014,1,0.292
2013,12,0.2735
2013,11,0.2234
2013,10,0.2258
2013,9,0.2232
2013,8,0.2259
2013,7,0.2214
2013,6,0.2102
2013,5,0.2012
2013,4,0.2089
2013,3,0.2061
2013,2,0.2233
2013,1,0.2049
2012,12,0.1855
2012,11,0.192
2012,10,0.2079
2012,9,0.2463
2012,8,0.3324
2012,7,0.497
2012,6,0.6589
2012,5,0.6849
2012,4,0.7443
2012,3,0.8585
2012,2,1.0483
2012,1,1.2222
2011,12,1.4261
2011,11,1.4847
2011,10,1.5759
2011,9,1.5365
2011,8,1.5521
2011,7,1.5976
2011,6,1.4886
2011,5,1.4251
2011,4,1.3212
2011,3,1.1755
2011,2,1.0868
2011,1,1.0172
2010,12,1.0217
2010,11,1.042
2010,10,0.9977
2010,9,0.8805
2010,8,0.8955
2010,7,0.8488
2010,6,0.7276
2010,5,0.6865
2010,4,0.6447
2010,3,0.645
2010,2,0.6617
2010,1,0.6797
2009,12,0.712
2009,11,0.7162
2009,10,0.7375
2009,9,0.7721
2009,8,0.8605
2009,7,0.975
2009,6,1.2279
2009,5,1.2817
2009,4,1.4223
2009,3,1.6355
2009,2,1.943
2009,1,2.4565
2008,12,3.2926
2008,11,4.2383
2008,10,5.1131
2008,9,5.0192
2008,8,4.9652
2008,7,4.961
2008,6,4.9405
2008,5,4.8574
2008,4,4.7835
2008,3,4.5964
2008,2,4.3621
2008,1,4.4816
2007,12,4.8484
2007,11,4.6386
2007,10,4.6874
2007,9,4.7417
2007,8,4.5436
2007,7,4.2162
2007,6,4.1478
2007,5,4.0714
2007,4,3.9753
2007,3,3.8909
2007,2,3.8182
2007,1,3.7519
2006,12,3.6842
2006,11,3.5972
2006,10,3.502
2006,9,3.3354
2006,8,3.2265
2006,7,3.1022
2006,6,2.9857
2006,5,2.889
2006,4,2.7938
2006,3,2.7226
2006,2,2.6004
2006,1,2.5117
2005,12,2.4729
2005,11,2.3609
2005,10,2.1966
2005,9,2.1391
2005,8,2.1325
2005,7,2.1194
2005,6,2.1111
2005,5,2.1256
2005,4,2.1372
2005,3,2.1372
2005,2,2.1383
2005,1,2.1454
2004,12,2.1732
2004,11,2.1703
2004,10,2.1473
2004,9,2.1186
2004,8,2.1143
2004,7,2.116
2004,6,2.1127
2004,5,2.0859
2004,4,2.0488
2004,3,2.0288
2004,2,2.0705
2004,1,2.0895
2003,12,2.1463
2003,11,2.1591
2003,10,2.1436
2003,9,2.1473
2003,8,2.1404
2003,7,2.13
2003,6,2.1519
2003,5,2.4005
2003,4,2.5333
2003,3,2.5299
2003,2,2.6875
2003,1,2.8318
2002,12,2.9411
2002,11,3.1241
2002,10,3.2613
2002,9,3.3101
2002,8,3.3519
2002,7,3.41
2002,6,3.464
2002,5,3.4671
2002,4,3.4069
2002,3,3.3908
2002,2,3.3571
2002,1,3.3388
2001,12,3.3449
2001,11,3.3857
2001,10,3.5999
2001,9,3.9829
2001,8,4.3535
2001,7,4.4671
2001,6,4.4536
2001,5,4.6367
2001,4,4.682
2001,3,4.7086
2001,2,4.7558
2001,1,4.7707
2000,12,4.9392
2000,11,5.0919
2000,10,5.0413
2000,9,4.8528
2000,8,4.7771
2000,7,4.5829
2000,6,4.5017
2000,5,4.362
2000,4,3.9253
2000,3,3.747
2000,2,3.5368
2000,1,3.3431
1999,12,3.4461
1999,11,3.4677
1999,10,3.3757
1999,9,2.7267
1999,8,2.6951
1999,7,2.6764
1999,6,2.6267
1999,5,2.5789
1999,4,2.6965
1999,3,3.0467
1999,2,3.0934
1999,1,3.1321
1998,12,3.37
1998,11,3.69
1998,10,3.81
1998,9,3.93
1998,8,3.93
1998,7,3.95
1998,6,4.02
1998,5,4.06
1998,4,4.09
1998,3,4.11
1998,2,4.24
1998,1,4.26
1997,12,4.37
1997,11,4.49
1997,10,4.44
1997,9,4.31
1997,8,4.36
1997,7,4.3
1997,6,4.29
1997,5,4.3
1997,4,4.39
1997,3,4.5
1997,2,4.43
1997,1,4.39
1996,12,4.5
1996,11,4.57
1996,10,4.69
1996,9,4.86
1996,8,5.08
1996,7,5.06
1996,6,5.08
1996,5,5.06
1996,4,5.27
1996,3,5.5
1996,2,5.58
1996,1,5.81
1995,12,6.32
1995,11,6.45
1995,10,6.75
1995,9,6.5
1995,8,6.66
1995,7,6.92
1995,6,7.08
1995,5,7.04
1995,4,7.29
1995,3,7.58
1995,2,6.59
1995,1,6.66
1994,12,6.69
1994,11,6.4
1994,10,6.43
1994,9,6.38
1994,8,6.43
1994,7,6.34
1994,6,6.3
1994,5,6.24
1994,4,6.57
1994,3,6.75
1994,2,6.86
1994,1,6.91
