Year,Month,Inflation_Rate
2023,12,
2023,11,
2023,10,
2023,9,
2023,8,
2023,7,0.0429
2023,6,0.0453
2023,5,0.0512
2023,4,0.0588
2023,3,0.057
2023,2,0.06280000000000001
2023,1,0.0599
2022,12,0.058499999999999996
2022,11,0.061500000000000006
2022,10,0.062
2022,9,0.0555
2022,8,0.0591
2022,7,0.0608
2022,6,0.0584
2022,5,0.052000000000000005
2022,4,0.0483
2022,3,0.044800000000000006
2022,2,0.0363
2022,1,0.0285
2021,12,0.0275
2021,11,0.0278
2021,10,0.0262
2021,9,0.0216
2021,8,0.0187
2021,7,0.0115
2021,6,0.0148
2021,5,0.014199999999999999
2021,4,0.0124
2021,3,0.0111
2021,2,0.005600000000000001
2021,1,0.0055000000000000005
2020,12,-0.0002
2020,11,0.002
2020,10,0.0005
2020,9,0.0005
2020,8,0.0022
2020,7,0.0078000000000000005
2020,6,0.002
2020,5,0.0036
2020,4,0.0033
2020,3,0.0067
2020,2,0.0143
2020,1,0.0149
2019,12,0.0146
2019,11,0.0103
2019,10,0.0076
2019,9,0.0091
2019,8,0.0104
2019,7,0.010700000000000001
2019,6,0.011699999999999999
2019,5,0.009399999999999999
2019,4,0.0126
2019,3,0.0111
2019,2,0.0132
2019,1,0.0124
2018,12,0.0159
2018,11,0.0189
2018,10,0.022099999999999998
2018,9,0.022000000000000002
2018,8,0.0226
2018,7,0.0229
2018,6,0.0202
2018,5,0.0202
2018,4,0.016399999999999998
2018,3,0.015600000000000001
2018,2,0.0118
2018,1,0.013300000000000001
2017,12,0.011899999999999999
2017,11,0.0118
2017,10,0.0106
2017,9,0.009899999999999999
2017,8,0.009000000000000001
2017,7,0.0072
2017,6,0.0069
2017,5,0.008100000000000001
2017,4,0.011699999999999999
2017,3,0.0115
2017,2,0.0121
2017,1,0.0134
2016,12,0.0060999999999999995
2016,11,0.0053
2016,10,0.0036
2016,9,0.0039000000000000003
2016,8,0.0023
2016,7,0.0022
2016,6,0.0019
2016,5,-0.0002
2016,4,-0.0019
2016,3,-0.0015
2016,2,-0.0019
2016,1,0.0022
2015,12,0.0018
2015,11,0.0004
2015,10,0.0006
2015,9,0.0003
2015,8,0.0005
2015,7,0.0017000000000000001
2015,6,0.0026
2015,5,0.003
2015,4,0.0008
2015,3,-0.0007000000000000001
2015,2,-0.0027
2015,1,-0.0038
