Year,Month,Inflation_Rate
2023,12,
2023,11,
2023,10,
2023,9,
2023,8,
2023,7,0.063
2023,6,0.067
2023,5,0.08
2023,4,0.087
2023,3,0.081
2023,2,0.098
2023,1,0.107
2022,12,0.12300000000000001
2022,11,0.126
2022,10,0.126
2022,9,0.094
2022,8,0.091
2022,7,0.084
2022,6,0.085
2022,5,0.073
2022,4,0.063
2022,3,0.068
2022,2,0.062
2022,1,0.051
2021,12,0.042
2021,11,0.039
2021,10,0.032
2021,9,0.028999999999999998
2021,8,0.025
2021,7,0.01
2021,6,0.013000000000000001
2021,5,0.012
2021,4,0.01
2021,3,0.006
2021,2,0.01
2021,1,0.006999999999999999
2020,12,-0.003
2020,11,-0.003
2020,10,-0.006
2020,9,-0.01
2020,8,-0.005
2020,7,0.008
2020,6,-0.004
2020,5,-0.003
2020,4,0.001
2020,3,0.001
2020,2,0.002
2020,1,0.004
2019,12,0.005
2019,11,0.002
2019,10,0.002
2019,9,0.002
2019,8,0.005
2019,7,0.003
2019,6,0.008
2019,5,0.009000000000000001
2019,4,0.011000000000000001
2019,3,0.011000000000000001
2019,2,0.011000000000000001
2019,1,0.009000000000000001
2018,12,0.012
2018,11,0.016
2018,10,0.017
2018,9,0.015
2018,8,0.016
2018,7,0.019
2018,6,0.013999999999999999
2018,5,0.01
2018,4,0.006
2018,3,0.009000000000000001
2018,2,0.005
2018,1,0.012
2017,12,0.01
2017,11,0.011000000000000001
2017,10,0.011000000000000001
2017,9,0.013000000000000001
2017,8,0.013999999999999999
2017,7,0.012
2017,6,0.012
2017,5,0.016
2017,4,0.02
2017,3,0.013999999999999999
2017,2,0.016
2017,1,0.01
2016,12,0.005
2016,11,0.001
2016,10,-0.001
2016,9,0.001
2016,8,-0.001
2016,7,-0.002
2016,6,-0.002
2016,5,-0.003
2016,4,-0.004
2016,3,-0.002
2016,2,-0.002
2016,1,0.004
2015,12,0.001
2015,11,0.001
2015,10,0.003
2015,9,0.002
2015,8,0.003
2015,7,0.004
2015,6,0.002
2015,5,0.002
2015,4,-0.001
2015,3,0.0
2015,2,0.001
2015,1,-0.005
2014,12,0.0
2014,11,0.003
2014,10,0.002
2014,9,-0.001
2014,8,-0.001
2014,7,0.0
2014,6,0.003
2014,5,0.004
2014,4,0.005
2014,3,0.003
2014,2,0.004
2014,1,0.006
2013,12,0.006
2013,11,0.006
2013,10,0.006999999999999999
2013,9,0.009000000000000001
2013,8,0.011000000000000001
2013,7,0.012
2013,6,0.012
2013,5,0.012
2013,4,0.012
2013,3,0.018000000000000002
2013,2,0.02
2013,1,0.024
2012,12,0.026000000000000002
2012,11,0.026000000000000002
2012,10,0.027999999999999997
2012,9,0.034
2012,8,0.034
2012,7,0.036000000000000004
2012,6,0.037000000000000005
2012,5,0.036000000000000004
2012,4,0.037000000000000005
2012,3,0.038
2012,2,0.035
2012,1,0.034
2011,12,0.037000000000000005
2011,11,0.037000000000000005
2011,10,0.037000000000000005
2011,9,0.037000000000000005
2011,8,0.023
2011,7,0.021
2011,6,0.03
2011,5,0.03
2011,4,0.028999999999999998
2011,3,0.027999999999999997
2011,2,0.022000000000000002
2011,1,0.02
2010,12,0.021
2010,11,0.018000000000000002
2010,10,0.02
2010,9,0.016
2010,8,0.017
2010,7,0.018000000000000002
2010,6,0.013999999999999999
2010,5,0.015
2010,4,0.018000000000000002
2010,3,0.013999999999999999
2010,2,0.01
2010,1,0.013000000000000001
2009,12,0.011000000000000001
2009,11,0.009000000000000001
2009,10,0.003
2009,9,0.003
2009,8,0.001
2009,7,-0.001
2009,6,0.005
2009,5,0.008
2009,4,0.012
2009,3,0.011000000000000001
2009,2,0.016
2009,1,0.013999999999999999
2008,12,0.024
2008,11,0.027999999999999997
2008,10,0.036000000000000004
2008,9,0.039
2008,8,0.043
2008,7,0.04
2008,6,0.04
2008,5,0.038
2008,4,0.034
2008,3,0.036000000000000004
2008,2,0.03
2008,1,0.032
2007,12,0.027999999999999997
2007,11,0.025
2007,10,0.023
2007,9,0.017
2007,8,0.016
2007,7,0.016
2007,6,0.02
2007,5,0.019
2007,4,0.018000000000000002
2007,3,0.02
2007,2,0.021
2007,1,0.019
2006,12,0.021
2006,11,0.02
2006,10,0.019
2006,9,0.025
2006,8,0.023
2006,7,0.024
2006,6,0.024
2006,5,0.023
2006,4,0.024
2006,3,0.022000000000000002
2006,2,0.022000000000000002
2006,1,0.022000000000000002
2005,12,0.02
2005,11,0.024
2005,10,0.025
2005,9,0.022000000000000002
2005,8,0.022000000000000002
2005,7,0.022000000000000002
2005,6,0.022000000000000002
2005,5,0.023
2005,4,0.021
2005,3,0.022000000000000002
2005,2,0.021
2005,1,0.02
2004,12,0.023
2004,11,0.02
2004,10,0.021
2004,9,0.021
2004,8,0.024
2004,7,0.022000000000000002
2004,6,0.024
2004,5,0.024
2004,4,0.024
2004,3,0.023
2004,2,0.024
2004,1,0.022000000000000002
2003,12,0.025
2003,11,0.027999999999999997
2003,10,0.027999999999999997
2003,9,0.028999999999999998
2003,8,0.027999999999999997
2003,7,0.027999999999999997
2003,6,0.027999999999999997
2003,5,0.027999999999999997
2003,4,0.03
2003,3,0.03
2003,2,0.026000000000000002
2003,1,0.028999999999999998
2002,12,0.03
2002,11,0.028999999999999998
2002,10,0.028999999999999998
2002,9,0.028999999999999998
2002,8,0.025
2002,7,0.025
2002,6,0.024
2002,5,0.025
2002,4,0.025
2002,3,0.025
2002,2,0.025
2002,1,0.023
