Year,Month,Rate
2023,5,0.033664
2023,4,0.03167
2023,3,0.029106
2023,2,0.026404
2023,1,0.023449
2022,12,0.020635
2022,11,0.018252
2022,10,0.014277
2022,9,0.010109
2022,8,0.003947
2022,7,0.000366
2022,6,-0.002392
2022,5,-0.00385699999999999
2022,4,-0.004479
2022,3,-0.004954
2022,2,-0.00531499999999999
2022,1,-0.005601
2021,12,-0.00582
2021,11,-0.005674
2021,10,-0.00549799999999999
2021,9,-0.005451
2021,8,-0.005476
2021,7,-0.005448
2021,6,-0.005429
2021,5,-0.005401
2021,4,-0.005382
2021,3,-0.005391
2021,2,-0.005411
2021,1,-0.005472
2020,12,-0.005381
2020,11,-0.005209
2020,10,-0.005091
2020,9,-0.004914
2020,8,-0.004797
2020,7,-0.004441
2020,6,-0.00376
2020,5,-0.00272
2020,4,-0.00254
2020,3,-0.004166
2020,2,-0.004088
2020,1,-0.003911
2019,12,-0.003947
2019,11,-0.004013
2019,10,-0.004129
2019,9,-0.004176
2019,8,-0.004077
2019,7,-0.003649
2019,6,-0.003289
2019,5,-0.003119
2019,4,-0.003105
2019,3,-0.00309199999999999
2019,2,-0.003085
2019,1,-0.00308
2018,12,-0.003119
2018,11,-0.003164
2018,10,-0.00317699999999999
2018,9,-0.003189
2018,8,-0.00319
2018,7,-0.00320699999999999
2018,6,-0.003221
2018,5,-0.00325199999999999
2018,4,-0.003285
2018,3,-0.003279
2018,2,-0.003285
2018,1,-0.003285
2017,12,-0.003279
2017,11,-0.00329
2017,10,-0.003296
2017,9,-0.003294
2017,8,-0.003291
2017,7,-0.003304
2017,6,-0.0033
2017,5,-0.003295
2017,4,-0.003304
2017,3,-0.003293
2017,2,-0.003286
2017,1,-0.003256
2016,12,-0.003158
2016,11,-0.00312699999999999
2016,10,-0.00309
2016,9,-0.00301599999999999
2016,8,-0.002982
2016,7,-0.00294499999999999
2016,6,-0.002679
2016,5,-0.00257199999999999
2016,4,-0.002492
2016,3,-0.002285
2016,2,-0.001836
2016,1,-0.001462
2015,12,-0.001263
2015,11,-0.000875999999999999
2015,10,-0.000536
2015,9,-0.00037
2015,8,-0.000277
2015,7,-0.000187
2015,6,-0.000139
2015,5,-0.000104
2015,4,4.70E-05
2015,3,0.000272
2015,2,0.000482
2015,1,0.000627
2014,12,0.000809
2014,11,0.000809
2014,10,0.000826
2014,9,0.000971
2014,8,0.001916
2014,7,0.00204999999999999
2014,6,0.002414
2014,5,0.003246
2014,4,0.003297
2014,3,0.003053
2014,2,0.002881
2014,1,0.00292
2013,12,0.002735
2013,11,0.002234
2013,10,0.002258
2013,9,0.002232
2013,8,0.00225899999999999
2013,7,0.002214
2013,6,0.002102
2013,5,0.002012
2013,4,0.002089
2013,3,0.002061
2013,2,0.002233
2013,1,0.002049
2012,12,0.00185499999999999
2012,11,0.00192
2012,10,0.002079
2012,9,0.002463
2012,8,0.00332399999999999
2012,7,0.00497
2012,6,0.006589
2012,5,0.00684899999999999
2012,4,0.007443
2012,3,0.008585
2012,2,0.010483
2012,1,0.012222
2011,12,0.014261
2011,11,0.0148469999999999
2011,10,0.015759
2011,9,0.015365
2011,8,0.015521
2011,7,0.015976
2011,6,0.014886
2011,5,0.014251
2011,4,0.013212
2011,3,0.011755
2011,2,0.010868
2011,1,0.010172
2010,12,0.010217
2010,11,0.01042
2010,10,0.009977
2010,9,0.008805
2010,8,0.008955
2010,7,0.008488
2010,6,0.007276
2010,5,0.006865
2010,4,0.006447
2010,3,0.00645
2010,2,0.006617
2010,1,0.006797
2009,12,0.00712
